"SP","capture_m3d_ADF","capture_m3d_modflow","WellNum"
439,0.103,12.233,118
440,1.234,29.359,118
441,4.805,41.592,118
442,11.565,56.761,118
443,19.804,59.696,118
444,27.565,57.25,118
445,33.003,57.984,118
446,35.922,60.675,118
447,37.477,53.58,118
448,37.829,53.825,118
449,37.429,51.867,118
450,36.585,49.176,118
451,35.48,56.516,118
452,34.651,54.314,118
453,34.812,58.962,118
454,36.237,62.143,118
455,38.337,62.388,118
456,40.237,52.112,118
457,41.23,55.048,118
458,41.346,53.091,118
459,40.829,55.293,118
460,39.918,50.399,118
461,38.724,47.953,118
462,37.439,50.399,118
463,36.1,50.399,118
464,35.218,57.739,118
465,35.5,57.984,118
466,37.216,59.941,118
467,39.69,58.473,118
468,41.965,55.293,118
469,43.255,53.335,118
470,43.575,58.228,118
471,43.229,50.644,118
472,42.43,48.442,118
473,41.312,48.442,118
474,40.075,43.696,118
475,38.764,51.036,118
476,37.885,55.684,118
477,38.135,55.415,118
478,39.778,57.984,118
479,42.159,60.7,118
480,44.341,58.498,118
481,45.558,56.027,118
482,45.83,56.002,118
483,45.447,46.069,118
484,44.621,57.984,118
485,43.484,46.24,118
486,42.23,46.24,118
487,40.891,43.304,118
488,39.85,51.378,118
489,39.619,53.091,118
490,40.363,45.751,118
491,41.651,47.953,118
492,42.802,55.537,118
493,43.291,48.442,118
494,43.166,45.996,118
495,42.562,41.592,118
496,41.674,36.454,118
497,40.571,41.592,118
498,39.409,48.858,118
499,38.248,48.442,118
500,37.858,59.696,118
501,39.362,71.44,118
502,43.26,77.556,118
503,48.349,80.737,118
504,53.088,73.887,118
505,56.13,81.716,118
506,57.446,83.673,118
507,57.627,67.281,118
508,56.991,71.88,118
509,55.812,67.403,118
510,54.373,67.281,118
511,52.834,75.844,118
512,52.346,85.875,118
513,54.564,104.713,118
514,60.234,115.478,118
515,67.617,117.925,118
516,74.486,117.436,118
517,78.886,107.649,118
518,80.747,105.447,118
519,81.045,101.288,118
520,80.14,98.597,118
521,78.437,93.215,118
522,76.353,86.119,118
523,74.017,85.875,118
524,72.16,96.15,118
525,71.751,91.502,118
526,73.109,105.937,118
527,75.454,103.49,118
528,77.539,104.469,118
529,78.407,107.16,118
530,78.15,96.64,118
531,77.015,92.725,118
532,75.359,87.416,118
533,73.313,80.223,118
534,71.164,72.663,118
535,68.918,81.495,118
536,67.092,81.275,118
537,66.375,88.175,118
538,66.955,90.45,118
539,68.286,86.535,118
540,69.444,88.101,118
541,69.747,80.59,118
542,69.286,80.15,118
543,68.178,77.116,118
544,66.717,72.908,118
545,64.977,68.015,118
546,63.182,69.678,118
547,61.369,74.376,118
548,60.377,84.652,118
549,61.41,95.172,118
550,64.96,107.405,118
551,69.798,106.426,118
552,74.274,99.086,118
553,76.987,95.172,118
554,77.938,94.927,118
555,77.685,92.774,118
556,76.606,95.123,118
557,74.961,92.163,118
558,73.073,81.96,118
559,71.042,78.78,118
560,69.708,95.416,118
561,70.242,101.778,118
562,73.095,103.001,118
563,77.165,107.649,118
564,80.893,108.383,118
565,82.993,105.447,118
566,83.497,97.863,118
567,82.9,95.906,118
568,81.553,91.453,118
569,79.677,86.119,118
570,77.599,85.875,118
571,75.374,84.407,118
572,73.643,86.902,118
573,73.271,101.631,118
574,74.535,105.447,118
575,76.709,103.49,118
576,78.648,99.576,118
577,79.47,101.778,118
578,79.255,89.3,118
579,78.232,92.481,118
580,76.726,93.949,118
581,74.856,79.269,118
582,72.886,81.716,118
583,70.847,80.615,118
584,69.442,88.811,118
585,69.656,98.108,118
586,71.843,98.108,118
587,75.083,95.172,118
588,78.04,87.587,118
589,79.633,95.392,118
590,79.902,90.328,118
591,79.233,88.077,118
592,77.941,83.404,118
593,76.203,85.508,118
594,74.304,80.492,118
595,72.357,95.906,118
596,71.604,104.224,118
597,73.836,120.616,118
598,79.843,132.604,118
599,87.736,137.987,118
600,95.072,130.402,118
601,99.724,132.604,118
602,101.659,128.69,118
603,101.792,120.372,118
604,100.641,116.457,118
605,98.63,110.096,118
606,96.217,132.311,118
607,94.175,200.13,118
608,99.112,309.908,118
609,120.919,410.875,118
610,164.649,472.923,118
611,218.721,508.398,118
612,269.516,504.973,118
613,304.421,494.208,118
614,322.327,473.902,118
615,330.715,457.999,118
616,330.999,439.16,118
617,326.136,413.961,118
618,318.387,400.26,118
619,309.012,436.224,118
620,303.011,478.844,118
621,307.217,524.228,118
622,324.421,537.88,118
623,348.383,545.097,118
624,370.353,535.8,118
625,383.033,514.026,118
626,386.554,501.548,118
627,383.896,472.923,118
628,376.958,453.595,118
629,367.055,428.885,118
630,355.993,423.013,118
631,344.514,479.773,118
632,339.621,561.286,118
633,351.351,653.796,118
634,384.076,697.323,118
635,427.362,718.315,118
636,467.606,700.43,118
637,493.013,681.224,118
638,503.245,656.906,118
639,503.981,635.865,118
640,497.55,605.038,118
641,486.325,564.914,118
642,472.88,554.883,118
643,457.995,567.606,118
644,446.548,610.91,118
645,445.083,644.844,118
646,455.837,657.884,118
647,473.319,655.682,118
648,489.028,634.397,118
649,496.313,619.962,118
650,495.562,589.869,118
651,488.796,572.009,118
652,478.429,544.118,118
653,465.396,515.249,118
654,451.602,497.389,118
655,437.223,520.387,118
656,426.509,554.639,118
657,425.278,587.056,118
658,435.469,608.219,118
659,451.927,606.751,118
660,466.805,591.337,118
661,473.934,577.147,118
662,473.732,549.99,118
663,468.04,525.769,118
664,458.927,506.686,118
665,447.296,480.752,118
666,434.889,483.933,118
667,422.266,550.235,118
668,416.686,638.703,118
669,428.598,730.009,118
670,462.517,776.543,118
671,507.51,796.116,118
672,549.296,800.03,118
673,575.53,765.289,118
674,585.893,737.643,118
675,586.256,722.474,118
676,579.104,676.723,118
677,566.899,651.523,118
678,552.363,639.78,118
679,536.706,697.274,118
680,528.848,802.232,118
681,541.435,913.111,118
682,579.849,968.501,118
683,631.363,982.055,118
684,679.04,968.404,118
685,708.373,941.198,118
686,719.163,913.796,118
687,718.05,874.161,118
688,708.185,827.921,118
689,692.385,787.797,118
690,673.959,781.192,118
691,654.048,823.224,118
692,641.427,911.132,118
693,648.319,1006.35,118
694,679.551,1054.496,118
695,723.481,1056.064,118
696,763.839,1039.746,118
697,787.111,1006.521,118
698,793.516,973.982,118
699,788.141,930.433,118
700,774.968,890.553,118
701,756.351,843.09,118
702,735.616,854.833,118
703,714.179,959.302,118
704,705.815,1133.009,118
705,730.338,1310.807,118
706,796.481,1404.824,118
707,883.441,1435.039,118
708,964.296,1421.436,118
709,1015.611,1381.899,118
710,1036.647,1335.341,118
711,1038.835,1273.932,118
712,1026.693,1213.991,118
713,1004.979,1157.964,118
714,978.767,1146.955,118
715,950.078,1222.798,118
716,932.535,1362.816,118
717,945.133,1504.889,118
718,995.539,1578.995,118
719,1065.544,1594.923,118
720,1129.957,1569.723,118
721,1167.697,1515.042,118
722,1178.959,1462.881,118
723,1172.51,1393.325,118
724,1153.618,1336.809,118
725,1126.116,1266.837,118
726,1095.128,1282.984,118
727,1062.943,1443.964,118
728,1050.589,1707.808,118
729,1088.312,1977.516,118
730,1189.478,2125.908,118
731,1322.36,2166.518,118
732,1445.933,2149.781,118
733,1524.453,2089.275,118
734,1556.767,2019.722,118
735,1560.363,1930.644,118
736,1542.095,1836.033,118
737,1509.238,1755.173,118
738,1469.516,1710.89,118
739,1425.671,1789.156,118
740,1395.274,1954.476,118
741,1402.422,2120.051,118
742,1456.219,2195.117,118
743,1534.784,2202.897,118
744,1606.467,2159.859,118
745,1645.497,2083.063,118
746,1652.669,2006.828,118
747,1637.074,1920.342,118
748,1606.903,1831.409,118
749,1566.362,1743.601,118
750,1522.144,1722.218,118
751,1475.625,1800.91,118
752,1443.877,1961.836,118
753,1450.604,2130.184,118
754,1504.605,2213.309,118
755,1583.733,2220.957,118
756,1656.118,2177.11,118
757,1695.798,2114.064,118
758,1703.613,2037.851,118
759,1689.098,1950.068,118
760,1659.639,1866.419,118
761,1619.571,1782.621,118
762,1575.62,1736.286,118
763,1528.918,1788.74,118
764,1493.769,1913.203,118
765,1489.652,2041.533,118
766,1523.107,2091.45,118
767,1577.175,2075.117,118
768,1625.883,2038.218,118
769,1648.856,1968.49,118
770,1647.565,1896.854,118
771,1628.001,1825.659,118
772,1597.113,1747.352,118
773,1557.855,1664.381,118
774,1516.048,1625.113,118
775,1472.184,1667.512,118
776,1438.349,1770.166,118
777,1430.96,1862.617,118
778,1455.201,1901.938,118
779,1497.055,1894.114,118
780,1534.45,1859.74,118
781,1550.38,1801.634,118
782,1546.369,1738.781,118
783,1526.813,1666.118,118
784,1497.954,1601.773,118
785,1462.069,1537.112,118
786,1424.23,1511.53,118
787,1385.083,1591.693,118
788,1358.663,1733.539,118
789,1364.616,1885.911,118
790,1410.212,1952.424,118
791,1476.809,1955.339,118
792,1537.696,1934.409,118
793,1571.096,1870.236,118
794,1577.588,1814.552,118
795,1564.848,1743.846,118
796,1539.699,1671.207,118
797,1505.686,1600.745,118
798,1468.432,1586.629,118
799,1429.381,1696.318,118
800,1405.5,1892.72,118
801,1420.698,2071.662,118
802,1484.462,2165.121,118
803,1573.413,2181.807,118
804,1655.232,2153.696,118
805,1702.944,2085.525,118
806,1716.817,2018.731,118
807,1707.926,1941.61,118
808,1683.068,1857.636,118
809,1647.089,1778.636,118
810,1606.593,1760.213,118
811,1563.463,1853.917,118
812,1535.694,2045.998,118
813,1548.427,2238.641,118
814,1611.438,2330.167,118
815,1700.746,2346.511,118
816,1782.652,2304.821,118
817,1829.284,2238.69,118
818,1841.196,2165.202,118
819,1829.354,2078.978,118
820,1801.167,2000,118
821,1761.503,1906.039,118
822,1717.361,1872.095,118
823,1670.403,1957.848,118
824,1638.064,2128.864,118
825,1644.499,2299.634,118
826,1698.675,2382.084,118
827,1778.216,2390.867,118
828,1850.792,2344.578,118
829,1890.125,2275.389,118
830,1897.181,2195.547,118
831,1881.454,2114.754,118
832,1850.57,2029.63,118
833,1808.863,1933.94,118
834,1763.231,1891.793,118
835,1714.9,1970.166,118
836,1679.717,2111.152,118
837,1679.451,2250.483,118
838,1721.716,2322.204,118
839,1786.986,2315.17,118
840,1846.108,2275.829,118
841,1875.868,2209.622,118
842,1877.292,2129.997,118
843,1857.891,2048.64,118
844,1825.584,1966.445,118
845,1783.839,1877.698,118
846,1739.034,1849.474,118
847,1692.198,1933.26,118
848,1659.911,2103.854,118
849,1665.238,2263.792,118
850,1716.619,2343.795,118
851,1792.517,2351.11,118
852,1861.761,2313.237,118
853,1899.071,2244.244,118
854,1905.404,2175.598,118
855,1889.78,2091.203,118
856,1859.587,2002.271,118
857,1818.958,1927.999,118
858,1774.556,1893.366,118
859,1727.613,1960.563,118
860,1694.184,2114.331,118
861,1696.441,2267.271,118
862,1742.32,2339.171,118
863,1811.605,2335.941,118
864,1874.536,2296.552,118
865,1907.219,2233.479,118
866,1910.831,2158.589,118
867,1893.431,2073.864,118
868,1862.381,1992.547,118
869,1821.447,1910.213,118
870,1777.107,1893.894,118
871,1730.91,2014.29,118
872,1702.941,2243.314,118
873,1721.565,2463.958,118
874,1798.059,2583.687,118
875,1904.53,2608.539,118
876,2002.535,2574.898,118
877,2059.93,2507.231,118
878,2076.973,2427.668,118
879,2066.952,2330.559,118
880,2037.88,2234.996,118
881,1995.559,2138.902,118
882,1947.816,2108.067,118
883,1896.893,2226.628,118
884,1863.915,2448.288,118
885,1878.379,2658.889,118
886,1951.725,2776.521,118
887,2055.896,2791.861,118
888,2151.384,2743.291,118
889,2205.556,2666.101,118
890,2219.066,2576.425,118
891,2203.936,2477.902,118
892,2170.001,2373.474,118
893,2122.815,2270.031,118
894,2070.556,2223.937,118
895,2014.442,2244.415,118
896,1969.086,2340.096,118
897,1953.952,2442.517,118
898,1974.803,2481.097,118
899,2016.154,2459.934,118
900,2052.337,2398.212,118
901,2064.124,2323.317,118
902,2053.89,2249.259,118
903,2025.481,2157.366,118
904,1986.858,2071.457,118
905,1940.261,1991.635,118
906,1891.849,1943.244,118
907,1841.357,1946.251,118
908,1799.065,2006.405,118
909,1778.539,2062.683,118
910,1782.967,2074.502,118
911,1802.277,2054.679,118
912,1818.166,2003.371,118
913,1817.69,1946.038,118
914,1803.225,1878.897,118
915,1775.796,1826.486,118
916,1741.9,1754.723,118
917,1702.566,1686.263,118
918,1662.483,1690.902,118
919,1622.218,1814.111,118
920,1600.104,2046.39,118
921,1622.456,2272.379,118
922,1700.014,2398.427,118
923,1805.817,2422.621,118
924,1903.581,2398.244,118
925,1962.577,2342.244,118
926,1982.612,2269.573,118
927,1977.112,2180.207,118
928,1953.138,2102.195,118
929,1916.442,2010.728,118
930,1874.239,1988.821,118
931,1828.727,2088.911,118
932,1798.521,2281.456,118
933,1809.507,2471.386,118
934,1871.632,2561.467,118
935,1960.615,2567.373,118
936,2041.945,2531.238,118
937,2087.268,2456.303,118
938,2097.29,2374.771,118
939,2082.257,2284.644,118
940,2050.924,2193.918,118
941,2008.018,2100.985,118
942,1960.782,2053.181,118
943,1910.191,2081.498,118
944,1869.254,2170.161,118
945,1855.323,2255.645,118
946,1873.49,2287.206,118
947,1909.957,2272.282,118
948,1941.789,2217.038,118
949,1951.843,2152.387,118
950,1942.283,2083.24,118
951,1916.449,2008.34,118
952,1881.502,1934.583,118
953,1839.411,1854.504,118
954,1795.706,1835.806,118
955,1750.915,1931.411,118
956,1721.469,2106.281,118
957,1730.498,2282.917,118
958,1786.68,2375.099,118
959,1867.689,2386.649,118
960,1941.894,2359.326,118
961,1983.346,2287.566,118
962,1992.701,2219.033,118
963,1979.775,2138.869,118
964,1951.697,2061.95,118
965,1912.869,1971.076,118
966,1869.926,1949.308,118
967,1824.409,2038.805,118
968,1793.689,2221.075,118
969,1801.948,2398.061,118
970,1858.279,2481.195,118
971,1939.998,2492.204,118
972,2014.617,2456.129,118
973,2055.594,2365.8,118
974,2063.791,2316.491,118
975,2049.011,2215.895,118
976,2018.792,2147.472,118
977,1977.572,2045.663,118
978,1932.254,2017.592,118
979,1884.002,2066.569,118
980,1847.638,2192.205,118
981,1843.387,2324.663,118
982,1878.041,2380.983,118
983,1933.995,2375.066,118
984,1984.264,2317.253,118
985,2007.702,2253.394,118
986,2005.496,2176.645,118
987,1984.055,2095.982,118
988,1951.003,2028.504,118
989,1909.29,1932.012,118
990,1864.986,1945.835,118
991,1819.802,2122.796,118
992,1797.969,2432.292,118
993,1834.297,2733.216,118
994,1943.573,2894.152,118
995,2089.737,2950.341,118
996,2225.195,2917.269,118
438,0,4.893,118
367,0.034,22.998,121
368,0.667,55.293,121
369,3.284,86.364,121
370,9.36,109.607,121
371,18.222,115.723,121
372,28.406,123.797,121
373,37.274,119.638,121
374,43.292,110.585,121
375,47.785,115.234,121
376,50.353,98.842,121
377,51.632,97.374,121
378,51.916,95.661,121
379,51.563,114.01,121
380,51.389,136.519,121
381,53.094,161.474,121
382,58.309,178.111,121
383,66.47,189.365,121
384,75.958,190.099,121
385,84.009,176.643,121
386,89.14,173.462,121
387,92.504,161.719,121
388,93.876,161.229,121
389,93.856,147.284,121
390,92.857,143.125,121
391,91.172,155.358,121
392,89.565,168.814,121
393,89.516,184.472,121
394,92.29,200.864,121
395,97.541,199.396,121
396,103.863,198.662,121
397,109.058,188.876,121
398,112.042,185.45,121
399,113.504,169.058,121
400,113.431,162.697,121
401,112.232,162.453,121
402,110.322,151.932,121
403,107.863,153.89,121
404,105.501,167.835,121
405,104.44,177.132,121
406,105.608,186.674,121
407,108.8,191.812,121
408,112.844,181.781,121
409,116.038,181.536,121
410,117.643,173.218,121
411,117.923,161.719,121
412,117.064,142.88,121
413,115.336,145.571,121
414,113.11,135.54,121
415,110.485,160.764,121
416,108.346,181.536,121
417,108.529,208.204,121
418,112.649,229.733,121
419,120.159,237.098,121
420,129.175,239.3,121
421,136.718,236.038,121
422,141.264,223.052,121
423,143.836,208.962,121
424,144.328,200.913,121
425,143.32,185.94,121
426,141.32,181.487,121
427,138.577,190.099,121
428,135.884,208.204,121
429,134.708,219.213,121
430,136.193,226.064,121
431,140.093,229.733,121
432,145.003,224.106,121
433,148.867,219.287,121
434,150.759,206.32,121
435,151.131,199.885,121
436,150.105,199.616,121
437,148.008,182.27,121
438,145.295,173.218,121
439,142.073,185.45,121
440,139.186,208.204,121
441,138.291,228.999,121
442,140.737,241.722,121
443,146.142,249.306,121
444,152.825,241.722,121
445,158.261,235.361,121
446,161.242,227.042,121
447,162.451,218.235,121
448,161.932,201.842,121
449,160.122,191.322,121
450,157.52,185.206,121
451,154.272,190.588,121
452,150.917,190.344,121
453,148.324,193.279,121
454,146.974,195.481,121
455,146.911,192.545,121
456,147.318,176.643,121
457,147.254,174.93,121
458,146.405,163.431,121
459,144.688,161.719,121
460,142.404,153.4,121
461,139.598,150.22,121
462,136.608,144.348,121
463,133.377,147.284,121
464,130.348,156.092,121
465,128.326,166.612,121
466,127.811,168.08,121
467,128.735,164.41,121
468,130.241,156.336,121
469,131.242,157.804,121
470,131.325,151.932,121
471,130.524,148.262,121
472,129.037,134.195,121
473,126.975,135.932,121
474,124.641,125.142,121
475,122.03,128.592,121
476,119.566,137.4,121
477,118.032,150.318,121
478,117.95,146.99,121
479,119.234,154.354,121
480,121.072,153.694,121
481,122.392,142.929,121
482,122.762,139.602,121
483,122.282,136.299,121
484,121.103,137.253,121
485,119.354,119.148,121
486,117.317,117.925,121
487,114.998,117.925,121
488,112.738,125.999,121
489,111.122,124.286,121
490,110.496,127.467,121
491,110.846,121.839,121
492,111.572,131.136,121
493,111.944,125.754,121
494,111.713,116.212,121
495,110.847,110.83,121
496,109.522,109.851,121
497,107.797,109.117,121
498,105.9,110.805,121
499,103.825,122.084,121
500,102.131,134.806,121
501,101.995,151.932,121
502,104.431,172.973,121
503,109.089,172.484,121
504,114.728,164.41,121
505,119.418,168.814,121
506,122.26,168.324,121
507,123.683,153.156,121
508,123.776,150.611,121
509,122.898,142.073,121
510,121.391,140.678,121
511,119.418,158.783,121
512,117.815,187.408,121
513,118.319,210.161,121
514,122.485,229.733,121
515,129.789,238.296,121
516,138.482,231.201,121
517,145.758,225.085,121
518,150.174,218.235,121
519,152.724,212.363,121
520,153.293,200.619,121
521,152.436,182.025,121
522,150.627,183.004,121
523,148.099,180.557,121
524,145.476,187.165,121
525,143.841,198.662,121
526,143.955,206.246,121
527,145.73,206.736,121
528,148.163,203.31,121
529,149.888,196.46,121
530,150.364,178.355,121
531,149.73,173.707,121
532,148.191,169.181,121
533,145.915,161.598,121
534,143.27,147.531,121
535,140.266,158.024,121
536,137.35,162.699,121
537,135.29,167.395,121
538,134.549,173.585,121
539,135.099,165.266,121
540,136.154,168.716,121
541,136.746,157.388,121
542,136.538,148.996,121
543,135.503,145.865,121
544,133.864,135.051,121
545,131.701,130.402,121
546,129.311,136.323,121
547,126.705,150.464,121
548,124.84,189.854,121
549,125.814,237.073,121
550,131.554,262.028,121
551,141.327,271.325,121
552,152.922,266.432,121
553,162.745,255.178,121
554,169.064,252.487,121
555,172.816,244.658,121
556,174.055,240.156,121
557,173.51,228.217,121
558,171.741,210.65,121
559,169.092,221.415,121
560,166.656,263.007,121
561,166.588,285.026,121
562,170.734,300.929,121
563,178.564,312.183,121
564,187.987,299.216,121
565,195.735,295.546,121
566,200.196,280.378,121
567,202.394,276.708,121
568,202.303,259.582,121
569,200.531,247.838,121
570,197.688,235.116,121
571,194.013,244.413,121
572,190.402,252.071,121
573,188.492,275.631,121
574,189.498,288.451,121
575,193.192,289.675,121
576,197.992,285.271,121
577,201.662,281.112,121
578,203.237,262.762,121
579,203.106,248.817,121
580,201.474,246.37,121
581,198.666,221.415,121
582,195.213,222.394,121
583,191.201,230.394,121
584,187.564,247.104,121
585,186.124,283.803,121
586,188.318,290.653,121
587,193.761,291.632,121
588,200.594,282.335,121
589,206.081,277.858,121
590,208.947,273.576,121
591,209.855,258.799,121
592,208.905,252.071,121
593,206.548,239.618,121
594,203.35,230.957,121
595,199.503,265.698,121
596,196.54,314.874,121
597,197.707,367.72,121
598,205.945,407.599,121
599,220.21,420.322,121
600,237.17,415.184,121
601,251.448,412.493,121
602,260.482,391.207,121
603,265.628,371.146,121
604,267.018,359.647,121
605,265.725,331.511,121
606,262.623,335.132,121
607,258.263,389.495,121
608,255.294,494.184,121
609,259.401,587.927,121
610,275.921,648.587,121
611,302.901,675.744,121
612,334.604,671.83,121
613,361.5,658.129,121
614,378.5,635.131,121
615,389.409,602.592,121
616,393.524,566.138,121
617,392.857,537.268,121
618,388.858,531.152,121
619,382.539,590.848,121
620,377.384,691.549,121
621,380.561,806.881,121
622,398.568,874.773,121
623,429.253,895.691,121
624,465.571,896.67,121
625,496.052,864.62,121
626,514.751,843.579,121
627,525.889,796.116,121
628,528.904,748.407,121
629,526.116,711.953,121
630,519.418,704.124,121
631,509.977,807.615,121
632,503.019,977.351,121
633,509.582,1164.577,121
634,539.881,1282.265,121
635,590.292,1327.047,121
636,649.74,1322.937,121
637,700.001,1286.018,121
638,731.446,1236.01,121
639,751.128,1187.078,121
640,757.873,1113.192,121
641,755.463,1045.911,121
642,746.754,1010.191,121
643,733.468,1029.274,121
644,719.807,1101.693,121
645,713.372,1177.879,121
646,720.005,1225,121
647,738.621,1217.661,121
648,762.177,1193.195,121
649,780.441,1147.199,121
650,789.065,1102.182,121
651,789.533,1043.22,121
652,783.125,988.417,121
653,771.401,938.262,121
654,756.712,903.765,121
655,739.477,928.475,121
656,723.27,998.937,121
657,714.761,1074.707,121
658,718.874,1123.223,121
659,734.551,1124.691,121
660,755.068,1101.938,121
661,770.965,1071.111,121
662,778.084,1024.137,121
663,778.134,972.269,121
664,771.891,926.274,121
665,760.745,880.523,121
666,746.875,860.705,121
667,730.667,902.052,121
668,715.897,995.585,121
669,709.876,1093.815,121
670,718.345,1147.933,121
671,739.793,1161.634,121
672,766.781,1154.539,121
673,788.407,1108.299,121
674,799.603,1066.707,121
675,802.969,1019.977,121
676,798.941,970.801,121
677,789.302,921.625,121
678,776.335,904.499,121
679,760.674,960.281,121
680,746.636,1068.615,121
681,742.735,1194.394,121
682,755.959,1266.005,121
683,784.307,1292.575,121
684,819.181,1272.024,121
685,847.591,1236.744,121
686,863.29,1191.238,121
687,869.877,1135.456,121
688,867.527,1076.004,121
689,858.514,1017.775,121
690,845.386,1006.032,121
691,829.005,1040.969,121
692,813.697,1136.728,121
693,807.75,1241.221,121
694,817.726,1310.041,121
695,841.981,1317.799,121
696,872.292,1300.575,121
697,896.522,1263.656,121
698,909.323,1212.034,121
699,912.75,1159.677,121
700,907.978,1101.938,121
701,896.982,1047.868,121
702,882.317,1028.051,121
703,864.643,1064.823,121
704,848.319,1165.223,121
705,841.729,1274.666,121
706,851.474,1336.833,121
707,875.866,1350.427,121
708,906.484,1330.546,121
709,930.952,1286.654,121
710,943.544,1239.68,121
711,947.191,1189.036,121
712,942.42,1122,121
713,931.251,1069.154,121
714,916.296,1036.614,121
715,898.195,1063.282,121
716,880.676,1120.556,121
717,870.52,1195.005,121
718,872.565,1238.016,121
719,885.965,1242.86,121
720,904.004,1219.373,121
721,917.455,1170.075,121
722,922.461,1128.189,121
723,920.292,1070.866,121
724,912.01,1034.167,121
725,898.855,976.918,121
726,883.12,971.046,121
727,865.12,1048.084,121
728,849.791,1193.88,121
729,847.209,1349.749,121
730,865.884,1444.967,121
731,903.095,1483.41,121
732,948.423,1470.27,121
733,985.849,1427.012,121
734,1007.445,1383.49,121
735,1018.103,1320.786,121
736,1017.677,1251.301,121
737,1009.096,1191.482,121
738,995.311,1157.23,121
739,977.482,1188.693,121
740,960.098,1271.73,121
741,951.458,1366.904,121
742,957.834,1420.775,121
743,977.951,1431.809,121
744,1003.75,1401.575,121
745,1023.705,1352.956,121
746,1032.916,1304.563,121
747,1032.955,1243.815,121
748,1025.284,1187.348,121
749,1011.611,1123.321,121
750,994.599,1103.601,121
751,974.691,1135.113,121
752,956.139,1226.003,121
753,947.002,1327.659,121
754,953.347,1387.145,121
755,973.766,1395.507,121
756,1000.086,1371.036,121
757,1020.668,1327.955,121
758,1030.318,1282.495,121
759,1031.326,1226.273,121
760,1024.511,1170.491,121
761,1011.634,1112.874,121
762,995.316,1077.374,121
763,976.023,1096.487,121
764,957.451,1169.39,121
765,946.315,1239.716,121
766,947.308,1281.218,121
767,959.64,1280.445,121
768,976.584,1256.781,121
769,989.022,1215.141,121
770,993.207,1170.662,121
771,990.226,1122.513,121
772,981.237,1069.308,121
773,967.414,1022.086,121
774,951.076,988.784,121
775,932.378,1009.506,121
776,914.47,1065.381,121
777,903.023,1117.666,121
778,901.814,1148.785,121
779,910.295,1145.389,121
780,922.675,1126.501,121
781,931.348,1102.182,121
782,933.322,1058.242,121
783,929.171,1011.316,121
784,920.085,975.058,121
785,906.938,929.151,121
786,891.777,906.707,121
787,874.676,946.8,121
788,859.063,1029.125,121
789,851.553,1118.689,121
790,857.151,1169.722,121
791,874.601,1180.268,121
792,897.042,1163.616,121
793,914.688,1128.899,121
794,923.298,1088.433,121
795,924.271,1046.596,121
796,918.721,1000.087,121
797,908.12,955.853,121
798,894.638,945.724,121
799,878.722,991.705,121
800,864.422,1106.978,121
801,859.728,1220.132,121
802,871.101,1283.865,121
803,896.718,1301.554,121
804,928.436,1296.196,121
805,954.095,1249.732,121
806,967.927,1212.988,121
807,973.117,1162.096,121
808,969.952,1103.136,121
809,960.502,1048.358,121
810,947.22,1040.553,121
811,930.867,1080.168,121
812,915.795,1189.183,121
813,910.451,1308.723,121
814,921.603,1368.737,121
815,947.463,1385.912,121
816,979.578,1367.465,121
817,1005.382,1331.084,121
818,1018.99,1279.681,121
819,1023.558,1219.691,121
820,1019.503,1170.506,121
821,1008.927,1111.024,121
822,994.431,1085.913,121
823,976.743,1121.119,121
824,960.152,1225.368,121
825,952.823,1326.802,121
826,961.078,1385.741,121
827,983.403,1398.414,121
828,1011.643,1381.141,121
829,1033.954,1339.268,121
830,1044.958,1293.03,121
831,1047.248,1236.947,121
832,1041.492,1184.24,121
833,1029.558,1120.331,121
834,1014.037,1092.861,121
835,995.492,1131.749,121
836,977.892,1202.94,121
837,968.642,1291.988,121
838,973.223,1341.969,121
839,990.481,1345.421,121
840,1012.992,1328.246,121
841,1030.305,1285.538,121
842,1037.995,1236.626,121
843,1037.376,1208.926,121
844,1029.825,1128.723,121
845,1016.838,1076.151,121
846,1000.86,1054.325,121
847,982.26,1093.02,121
848,965.091,1191.387,121
849,957.121,1286.165,121
850,964.294,1346.644,121
851,985.149,1357.849,121
852,1011.768,1341.8,121
853,1032.759,1306.055,121
854,1042.967,1260.99,121
855,1044.791,1208.252,121
856,1038.916,1155.763,121
857,1027.109,1103.968,121
858,1011.876,1093.715,121
859,993.876,1201.932,121
860,979.288,1408.322,121
861,981.022,1621.957,121
862,1010.475,1754.317,121
863,1063.754,1802.245,121
864,1127.591,1790.894,121
865,1180.947,1746.271,121
866,1213.07,1687.11,121
867,1231.19,1610.189,121
868,1234.557,1532.322,121
869,1227.257,1455.174,121
870,1212.891,1440.886,121
871,1193.378,1579.827,121
872,1177.166,1844.351,121
873,1181.629,2113.587,121
874,1222.232,2280.774,121
875,1293.89,2346.486,121
876,1379.267,2336.308,121
877,1450.593,2275.998,121
878,1493.659,2194.373,121
879,1518.199,2088.874,121
880,1523.167,1979.916,121
881,1514.024,1875.087,121
882,1495.514,1838.582,121
883,1470.106,1958.875,121
884,1447.097,2200.01,121
885,1444.875,2459.297,121
886,1479.072,2612.282,121
887,1545.15,2663.122,121
888,1625.051,2622.046,121
889,1690.727,2545.904,121
890,1729.345,2446.62,121
891,1746.889,2330.386,121
892,1745.084,2209.891,121
893,1729.048,2093.009,121
894,1704.032,2021.757,121
895,1671.961,2045.68,121
896,1639.934,2151.36,121
